03/16/2023                                                               Dynamic List Display                                                                       1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Order     |Material      |Target qty|    WBS Element|Occ.|Order Type|MRP ctrlr|Plant|Bsc start |System Status                          |Material description       |
|1000888793|1210110A-X3P  |        6 |D-1210110-11825|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888795|1210110A-X3P  |        1 |D-1210110-11857|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888797|1210110A-X3P  |       16 |D-1210110-11793|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888798|1210110A-X3P  |       20 |D-1210110-12333|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888800|1210110A-X3P  |       22 |D-1210110-12271|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888805|1210110A-X3P  |       34 |D-1210110-11889|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888808|1210110A-X3P  |       40 |D-1210110-11857|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888811|1210110A-X3P  |       30 |D-1210110-12301|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000902778|1210110A-X3P  |       12 |D-1210110-12748|03  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000902910|1210110A-X3P  |       30 |D-1210110-12748|03  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000902917|1210110A-X3P  |        8 |D-1210110-12812|03  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000902918|1210110A-X3P  |       14 |D-1210110-13194|03  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000902919|1210110A-X3P  |        4 |D-1210110-13194|03  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000902920|1210110A-X3P  |        7 |D-1210110-13256|03  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|3995384   |1210110A-X3P  |       23 |D-1210110-13256|03  |PR        |003      |HS01 |03/14/2023|                                       |PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888814|1210110A-X3P  |       10 |D-1210110-12812|03  |PP01      |003      |HS01 |04/13/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
